"State","Single Filer (Rates)","","Single Filer (Brackets)","Married Filing Jointly (Rates)","","Married Filing Jointly (Brackets)","Standard Deduction (Single)","Standard Deduction (Couple)","Personal Exemption (Single)","Personal Exemption (Couple)","Personal Exemption (Dependent)"
"Alabama (a, b, c, uu)","2.00%",">","$0","2.00%",">","$0","$3,000","$8,500","$1,500","$3,000","$1,000"
"- Alabama","4.00%",">","$500","4.00%",">","$1,000","","","","",""
"- Alabama","5.00%",">","$3,000","5.00%",">","$6,000","","","","",""
"Alaska","none","","","none","","","n.a.","n.a.","n.a.","n.a.","n.a."
"Arizona (e, f, u, vv)","2.50%",">","$0","2.50%",">","$0","$8,350","$16,700","n.a.","n.a.","$100 credit"
"Arkansas (d, g, h, j, kk)","2.00%",">","$0","2.00%",">","$0","$2,470","$4,940","$29 credit","$58 credit","$29 credit"
"- Arkansas","3.90%",">","$4,600","3.90%",">","$4,600","","","","",""
"California (a, h, j, k, l, m, n, nn)","1.00%",">","$0","1.00%",">","$0","$5,540","$11,080","$153 credit","$306 credit","$153 credit"
"- California","2.00%",">","$11,079","2.00%",">","$22,158","","","","",""
"- California","4.00%",">","$26,264","4.00%",">","$52,528","","","","",""
"- California","6.00%",">","$41,452","6.00%",">","$82,904","","","","",""
"- California","8.00%",">","$57,542","8.00%",">","$115,084","","","","",""
"- California","9.30%",">","$72,724","9.30%",">","$145,448","","","","",""
"- California","10.30%",">","$371,479","10.30%",">","$742,958","","","","",""
"- California","11.30%",">","$445,771","11.30%",">","$891,542","","","","",""
"- California","12.30%",">","$742,953","12.30%",">","$1,000,000","","","","",""
"- California","13.30%",">","$1,000,000","13.30%",">","$1,485,906","","","","",""
"Colorado (a, o)","4.40%",">","$0","4.40%",">","$0","$16,100","$32,200","n.a.","n.a.","n.a."
"Connecticut (i, p, q, r)","2.00%",">","$0","2.00%",">","$0","n.a.","n.a.","$15,000","$24,000","$0"
"- Connecticut","4.50%",">","$10,000","4.50%",">","$20,000","","","","",""
"- Connecticut","5.50%",">","$50,000","5.50%",">","$100,000","","","","",""
"- Connecticut","6.00%",">","$100,000","6.00%",">","$200,000","","","","",""
"- Connecticut","6.50%",">","$200,000","6.50%",">","$400,000","","","","",""
"- Connecticut","6.90%",">","$250,000","6.90%",">","$500,000","","","","",""
"- Connecticut","6.99%",">","$500,000","6.99%",">","$1,000,000","","","","",""
"Delaware (a, h, m, s)","2.20%",">","$2,000","2.20%",">","$2,000","$3,250","$6,500","$110 credit","$220 credit","$110 credit"
"- Delaware","3.90%",">","$5,000","3.90%",">","$5,000","","","","",""
"- Delaware","4.80%",">","$10,000","4.80%",">","$10,000","","","","",""
"- Delaware","5.20%",">","$20,000","5.20%",">","$20,000","","","","",""
